"thesis_code","section","sentence","expression_number","expression_without_unit","is_reflexive","reflexivity_type","reflexivity_reasoning","scope_classification","scope_reach","scope_reasoning","L1_classification","L1_reasoning","L2_classification","L2_reasoning","L3_classification","L3_borderline","L3_reasoning","L1_borderline_is","L1_borderline_dominant","L1_borderline_secondary","L1_borderline_why","L2_borderline_is","L2_borderline_primary","L2_borderline_secondary","L2_borderline_tertiary","L2_borderline_strength","L2_borderline_why","comprehensive_justification"
"AP2","Method","Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.","1","Exploring the decades","True","act","Refers to the ongoing analytical act performed in the text (framing the upcoming analysis).","MESO","Frames the specific analytical segment focusing on decade-by-decade patterns within this sentence/paragraph.","Its function is to set up a local analytical stage rather than the whole section.","MD","Discourse-act reflexivity; removing it does not change facts, only the organizational framing.","INT_ACTIVE","Organizes and frames how the reader should process the upcoming content.","Frame Marker","False","Announces the analytical focus/stage, a prototypical frame marker in Results/Method reporting.","False","","","","False","","","","","","Clear discourse-act reflexive, sentence-initial framing adjunct guiding the reader into a local analytical stage (decade focus)."
"AP2","Method","Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.","2","seem to be","False","","Does not refer to the discourse/text; modulates commitment to the proposition.","MICRO","Affects only the certainty of the immediate claim about the two periods’ relevance.","Hedging the single proposition is a canonical micro-scope function.","MD","Removal test shows only stance modulation is lost; content remains, so it is MD.","INT_ACTIONAL","Expresses epistemic stance (caution) toward the claim.","Hedge","False","‘Seem (to be)’ is a prototypical hedging construction.","False","","","","False","","","","","","Canonical hedge narrowing authorial commitment to the relevance claim; MD (interactional) with micro reach."
"AP2","Method","Exploring the decades, at least two periods seem to be particularly relevant in terms of change and worth of further investigation: between the 1960s and the 1970s, when the value of STTR shrinks down, quiet unexpectedly, from 43.72 to 41.5, and between the 1970s and the 1980s, when, on the contrary, a rapid growth is evidenced, from 41.5 and 44.3.","3","worth of further investigation","True","act","References a (future) research/analytical discourse act (‘further investigation’).","MICRO","Evaluative stance toward these specific periods’ significance for additional study.","It targets the current claim’s implication for research rather than structuring discourse segments.","MD","Discourse-act reflexive evaluation; removes stance/research direction, not factual identification.","INT_ACTIONAL","Expresses evaluative stance regarding significance and future inquiry.","Attitude Marker","False","Signals the writer’s positive evaluation of importance (‘worth’) for further research; no explicit engagement directive.","False","","","","False","","","","","","Evaluative stance toward future inquiry about these periods; interactional attitude marking with micro reach."
"AP2","Method","From a diachronic perspective, EPAs have become not only longer but also more syntactically developed and lexically richer over time: their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s.","1","From a diachronic perspective","True","act","Frames the discourse act/analytical lens under which the following propositions are presented, i.e., how the author is conducting the analysis.","MESO","Frames the cluster of propositions about diachronic trends (length, syntactic development, lexical richness) across the current and immediately following sentence(s).","Removal and sequencing tests show it organizes interpretation of multiple related propositions; genre conventions in Methods/Results use such expressions to set segment-level analytic perspectives.","MD","Reflexive to the discourse act; removing it does not alter propositional content but removes organizational framing, so its function is metadiscursive.","INT_ACTIVE","Guides textual organization by announcing the analytical perspective rather than expressing attitude.","Frame Marker","False","Introduces a perspective/lens for a stretch of text, a prototypical frame-marker function in academic prose.","False","","","","False","","","","","","Initial PP is discourse‑act reflexive and functions as an interactive frame marker setting a diachronic lens for a meso‑level segment; removal leaves content intact but removes organizational guidance."
"AP2","Method","It has to be noted that larger corpora give lower values for TTR; therefore, it is better to consider the standardised type/token ratio (STTR), “calculated for the first 1,000 running words, then calculated afresh for the next 1,000, and so on to the end of your text or corpus” (Scott 2007).","1","It has to be noted that","True","reader","Invokes the reader’s act of noting within the discourse; directs attention to the forthcoming proposition.","MICRO","Highlights the immediate premise that follows (the that-clause) as noteworthy; does not itself organize the subsequent conclusion.","Scope tests indicate impact on the single proposition introduced by the marker; no evidence it frames a larger segment.","MD","Reflexive to the reader’s engagement; removal leaves content intact but guidance is lost.","INT_ACTIONAL","Primarily engages/directs the reader’s attention; obligation shading expresses stance secondarily.","Engagement Marker","True","Primary: Engagement (directive to attend). Secondary: Attitude/Necessity via 'has to'. Engagement function dominates in guiding the reader.","False","","","","True","Engagement Marker","Attitude Marker","","PRIMARY strongly dominant; SECONDARY moderate","Directive to the reader is the main function; obligation ('has to') adds evaluative necessity as a secondary stance.","Reader-reflexive directive marking the upcoming premise; micro-scope (affects only that proposition). MD → Interactional, Engagement primary with secondary Attitude."
"AP2","Method","It has to be noted that larger corpora give lower values for TTR; therefore, it is better to consider the standardised type/token ratio (STTR), “calculated for the first 1,000 running words, then calculated afresh for the next 1,000, and so on to the end of your text or corpus” (Scott 2007).","2","therefore","False","","Signals a result relation between propositions; not self-referential to the discourse act or participants.","MICRO","Links the immediately preceding premise to the following recommendation within the sentence.","Functional reach is local; it does not structure a larger section beyond the paired propositions.","MD","Organizes the relation between propositions; removal preserves content but reduces coherence signaling.","INT_ACTIVE","Guides text structure by marking logical consequence.","Transition","False","Prototypical consequence/result transition connecting premise to conclusion.","False","","","","False","","","","","","Non-reflexive connective marking result; micro-scope (connects two clauses). MD → Interactive Transition."
"AP2","Method","It has to be noted that larger corpora give lower values for TTR; therefore, it is better to consider the standardised type/token ratio (STTR), “calculated for the first 1,000 running words, then calculated afresh for the next 1,000, and so on to the end of your text or corpus” (Scott 2007).","3","(Scott 2007)","False","","Points to an external source rather than the current discourse act or text.","MICRO","Attributes only the immediately preceding quoted definition of STTR.","Local evidential function; no broader organizational reach.","MD","Provides evidential sourcing without adding propositional content to the claim itself.","INT_ACTIVE","Manages intertextual linkage to support the text’s information structure.","Evidential","False","Standard author–date citation used to attribute information to a source.","False","","","","False","","","","","","Parenthetical citation serving as an interactive evidential; micro-scope attribution only."
"AP2","Method","The EPA Diacorpus amounts to 299,138 tokens and 20,384 word types.","1","The EPA Diacorpus amounts to 299,138 tokens and 20,384 word types.","False","","Refers to the external research object (the corpus) and its quantitative properties, not to the text, discourse acts, author, or reader.","MICRO","Supplies a single factual measurement about corpus size within this subsection; does not organize surrounding discourse.","Function confined to reporting one quantitative property; no structuring or relational signaling beyond this clause.","PROP","Truth-conditional, descriptive content about the dataset; loss of substantive factual information on removal. No reflexivity or discourse-guiding/stance functions.","","","","False","","False","","","","False","","","","","","Non-reflexive quantitative description of the research object in Methods; micro reach; purely propositional with no organizational, stance, or engagement function."
"AP2","Method","The vocabulary size of EPA Diacorpus and its sections was derived using a program suite largely acknowledged in linguistics, WordSmith Tools 5 (Scott 2007).","1","largely acknowledged in linguistics","False","","Evaluates the tool’s disciplinary status; does not refer to this text, the discourse act, author, or reader.","MICRO","Locally validates the specific software choice within the NP.","Function is confined to endorsing this specific tool choice rather than structuring discourse beyond the clause.","MD","Removal test shows only stance/validation is lost; propositional step (‘was derived using WordSmith Tools 5’) remains. Hence metadiscourse rather than content.","INT_ACTIONAL","Expresses stance toward the method’s acceptability, persuading the reader of its reliability (interpersonal/evaluative).","Booster","False","Intensifies certainty by appealing to broad disciplinary acceptance, narrowing alternatives.","False","","","","False","","","","","","Micro-scope stance device endorsing the tool; metadiscourse (interactional booster). Removing it drops only the justification, not the methodological content."
"AP2","Method","The vocabulary size of EPA Diacorpus and its sections was derived using a program suite largely acknowledged in linguistics, WordSmith Tools 5 (Scott 2007).","2","(Scott 2007)","False","","Points to an external source; does not refer to the current text/act/participants.","MICRO","Attributes the tool to its source and links to the literature.","Standard citation function confined to attributing this item.","MD","Guides readers to an external source; removal changes attribution only, not the described procedure.","INT_ACTIVE","Organizational/linking function connecting text to sources (structural guidance).","Evidential","False","Prototypical evidential (citation) providing source attribution.","False","","","","False","","","","","","Micro evidential linking the tool to its source; metadiscourse (interactive) with no impact on propositional content."
"AP2","Method","Tokens simply denote all the running words of a spoken or written text and if a specific word form occurs more often, these occurrences are counted as well.","1","simply","False","","Does not refer to the text/discourse act/participants; modifies stance toward the definition.","MICRO","Affects only the immediate definitional proposition about 'tokens'.","Its contribution is local stance-framing of this single claim.","MD","Removes without changing truth-conditional content; adds only stance toward the proposition.","INT_ACTIONAL","Expresses author stance/evaluation rather than organizing the text.","Attitude Marker","False","Frames the definition as straightforward/simple (evaluative). Not a certainty booster or reformulation signal in this position.","False","","","","False","","","","","","Non-reflexive, micro-scope stance device. It presents the definition as straightforward, affecting only the interpretation of the current claim. Best classified as Interactional Attitude Marker per Hyland."
"AP2","Method","Tokens simply denote all the running words of a spoken or written text and if a specific word form occurs more often, these occurrences are counted as well.","2","as well","False","","Signals an additive relation between propositions; no self-reference to text/act/participants.","MICRO","Links the counting of repeated forms to the preceding counting rule within the sentence.","Functions locally to mark addition between adjacent propositions.","MD","Organizes the relation between propositions without adding content.","INT_ACTIVE","Guides readers through discourse relations (addition).","Transition","False","Standard additive transition equivalent to 'also/in addition' in clause-final position.","False","","","","False","","","","","","'As well' marks addition between the two parts of the counting rule, functioning as an Interactive Transition at micro scope."
