sentence,context_before,context_after,section,thesis_code
"Art subjects may change, and portraits – an increasing item within the EPA Diacorpus – may be more intriguing for our times, but a landscape is still a must for any exhibition, as well as drawings and paintings – to mention some lockwords of the corpus, i.e. words stable in their frequencies across decades – especially if the latter are combined in order to enrich the educational experience of visitors, as well as to increase the number of art works on display with a close eye on costs.","shift from one-item to multi-item exhibitions: the decline of the word picture in its singular form rather than its plural, typically pre-modified by a determiner (the, this), in parallel to the increase of many other plural nouns identifying art works to put on display (images, works, objects) leads us to that conclusion. Moreover, something has changed in the way artists are selected for exhibiting: they do not have to be famous – another declining word –, nor particularly great or known, since these adjectives are preferably used to refer to their work, but they definitely must have an acknowledged career. Indeed, young artists have fewer advantages in the art scene, as reflected by the corpus, where less than 30 occurrences can be ascribed to the semantic field of youth.","New media have emerged over time: corpus evidence shows the rise of photography and the decline of architecture; however, the art of painting and drawing have not gone out of style, as words belonging to both lemmas, PAINT and DRAW, show a stable pattern across decades. Some further remarks concern the traces left by macro-level events on the language of EPAs, such as financial crises, globalization, and the advent of new technologies (see Garzone et al. 2012). Corpus evidence confirms the emergence of economic concerns in museums from the 1980s onward, as reflected by the increase of some revealing lexical items, pointing to the need to find alternative financial resources in view of cuts in public funding: the increasing frequency of words like admission, tickets and students, for instance, is reflective",conclusion,conclusion_2
"New media have emerged over time: corpus evidence shows the rise of photography and the decline of architecture; however, the art of painting and drawing have not gone out of style, as words belonging to both lemmas, PAINT and DRAW, show a stable pattern across decades.","known, since these adjectives are preferably used to refer to their work, but they definitely must have an acknowledged career. Indeed, young artists have fewer advantages in the art scene, as reflected by the corpus, where less than 30 occurrences can be ascribed to the semantic field of youth. Art subjects may change, and portraits – an increasing item within the EPA Diacorpus – may be more intriguing for our times, but a landscape is still a must for any exhibition, as well as drawings and paintings – to mention some lockwords of the corpus, i.e. words stable in their frequencies across decades – especially if the latter are combined in order to enrich the educational experience of visitors, as well as to increase the number of art works on display with a close eye on costs.","Some further remarks concern the traces left by macro-level events on the language of EPAs, such as financial crises, globalization, and the advent of new technologies (see Garzone et al. 2012). Corpus evidence confirms the emergence of economic concerns in museums from the 1980s onward, as reflected by the increase of some revealing lexical items, pointing to the need to find alternative financial resources in view of cuts in public funding: the increasing frequency of words like admission, tickets and students, for instance, is reflective of the introduction of visitor fees, but also of the need to differentiate them for some segments of audiences, i.e students, according to their age and other characteristics. Similarly, the rise of education programmes and collateral events thematically linked to the exhibition, such as lectures, films",conclusion,conclusion_2
"Some further remarks concern the traces left by macro-level events on the language of EPAs, such as financial crises, globalization, and the advent of new technologies (see Garzone et al. 2012).","of youth. Art subjects may change, and portraits – an increasing item within the EPA Diacorpus – may be more intriguing for our times, but a landscape is still a must for any exhibition, as well as drawings and paintings – to mention some lockwords of the corpus, i.e. words stable in their frequencies across decades – especially if the latter are combined in order to enrich the educational experience of visitors, as well as to increase the number of art works on display with a close eye on costs. New media have emerged over time: corpus evidence shows the rise of photography and the decline of architecture; however, the art of painting and drawing have not gone out of style, as words belonging to both lemmas, PAINT and DRAW, show a stable pattern across decades.","Corpus evidence confirms the emergence of economic concerns in museums from the 1980s onward, as reflected by the increase of some revealing lexical items, pointing to the need to find alternative financial resources in view of cuts in public funding: the increasing frequency of words like admission, tickets and students, for instance, is reflective of the introduction of visitor fees, but also of the need to differentiate them for some segments of audiences, i.e students, according to their age and other characteristics. Similarly, the rise of education programmes and collateral events thematically linked to the exhibition, such as lectures, films, artist talks, guided tours, has to be put in relation to marketing strategies aiming at widening the number of potential visitors. Another increasing word is catalogue, identifying an item on sale in",conclusion,conclusion_2
"Corpus evidence confirms the emergence of economic concerns in museums from the 1980s onward, as reflected by the increase of some revealing lexical items, pointing to the need to find alternative financial resources in view of cuts in public funding: the increasing frequency of words like admission, tickets and students, for instance, is reflective of the introduction of visitor fees, but also of the need to differentiate them for some segments of audiences, i.e students, according to their age and other characteristics.",", as well as drawings and paintings – to mention some lockwords of the corpus, i.e. words stable in their frequencies across decades – especially if the latter are combined in order to enrich the educational experience of visitors, as well as to increase the number of art works on display with a close eye on costs. New media have emerged over time: corpus evidence shows the rise of photography and the decline of architecture; however, the art of painting and drawing have not gone out of style, as words belonging to both lemmas, PAINT and DRAW, show a stable pattern across decades. Some further remarks concern the traces left by macro-level events on the language of EPAs, such as financial crises, globalization, and the advent of new technologies (see Garzone et al. 2012).","Similarly, the rise of education programmes and collateral events thematically linked to the exhibition, such as lectures, films, artist talks, guided tours, has to be put in relation to marketing strategies aiming at widening the number of potential visitors. Another increasing word is catalogue, identifying an item on sale in bookshops, from which museums can profit. To confirm the financial difficulties faced by museums is also the decline of the verb acquire, possibly related to a strict reduction of museum budgets devoted to new acquisitions of artworks. Eventually, a peak in the occurrences of the phrase made possible by, typically introducing the mention of exhibition sponsors, has to be noted in the 1980s, when museums began to establish commercial partnerships on a regular basis. In the last decades globalization has changed the world",conclusion,conclusion_2
"Similarly, the rise of education programmes and collateral events thematically linked to the exhibition, such as lectures, films, artist talks, guided tours, has to be put in relation to marketing strategies aiming at widening the number of potential visitors.","of style, as words belonging to both lemmas, PAINT and DRAW, show a stable pattern across decades. Some further remarks concern the traces left by macro-level events on the language of EPAs, such as financial crises, globalization, and the advent of new technologies (see Garzone et al. 2012). Corpus evidence confirms the emergence of economic concerns in museums from the 1980s onward, as reflected by the increase of some revealing lexical items, pointing to the need to find alternative financial resources in view of cuts in public funding: the increasing frequency of words like admission, tickets and students, for instance, is reflective of the introduction of visitor fees, but also of the need to differentiate them for some segments of audiences, i.e students, according to their age and other characteristics.","Another increasing word is catalogue, identifying an item on sale in bookshops, from which museums can profit. To confirm the financial difficulties faced by museums is also the decline of the verb acquire, possibly related to a strict reduction of museum budgets devoted to new acquisitions of artworks. Eventually, a peak in the occurrences of the phrase made possible by, typically introducing the mention of exhibition sponsors, has to be noted in the 1980s, when museums began to establish commercial partnerships on a regular basis. In the last decades globalization has changed the world by increasing relations between countries: one of its effects among museums, reflected by the EPA Diacorpus, is the increasing frequency of the noun tour in contrast to the decrease of country, being the former related to the feasibility of travelling an exhibition",conclusion,conclusion_2
"Another increasing word is catalogue, identifying an item on sale in bookshops, from which museums can profit.","advent of new technologies (see Garzone et al. 2012). Corpus evidence confirms the emergence of economic concerns in museums from the 1980s onward, as reflected by the increase of some revealing lexical items, pointing to the need to find alternative financial resources in view of cuts in public funding: the increasing frequency of words like admission, tickets and students, for instance, is reflective of the introduction of visitor fees, but also of the need to differentiate them for some segments of audiences, i.e students, according to their age and other characteristics. Similarly, the rise of education programmes and collateral events thematically linked to the exhibition, such as lectures, films, artist talks, guided tours, has to be put in relation to marketing strategies aiming at widening the number of potential visitors.","To confirm the financial difficulties faced by museums is also the decline of the verb acquire, possibly related to a strict reduction of museum budgets devoted to new acquisitions of artworks. Eventually, a peak in the occurrences of the phrase made possible by, typically introducing the mention of exhibition sponsors, has to be noted in the 1980s, when museums began to establish commercial partnerships on a regular basis. In the last decades globalization has changed the world by increasing relations between countries: one of its effects among museums, reflected by the EPA Diacorpus, is the increasing frequency of the noun tour in contrast to the decrease of country, being the former related to the feasibility of travelling an exhibition (Lord/Lord 2002) and the latter to small-scale exhibitions, organised at a national level. Last decades of",conclusion,conclusion_2
"To confirm the financial difficulties faced by museums is also the decline of the verb acquire, possibly related to a strict reduction of museum budgets devoted to new acquisitions of artworks.","in museums from the 1980s onward, as reflected by the increase of some revealing lexical items, pointing to the need to find alternative financial resources in view of cuts in public funding: the increasing frequency of words like admission, tickets and students, for instance, is reflective of the introduction of visitor fees, but also of the need to differentiate them for some segments of audiences, i.e students, according to their age and other characteristics. Similarly, the rise of education programmes and collateral events thematically linked to the exhibition, such as lectures, films, artist talks, guided tours, has to be put in relation to marketing strategies aiming at widening the number of potential visitors. Another increasing word is catalogue, identifying an item on sale in bookshops, from which museums can profit.","Eventually, a peak in the occurrences of the phrase made possible by, typically introducing the mention of exhibition sponsors, has to be noted in the 1980s, when museums began to establish commercial partnerships on a regular basis. In the last decades globalization has changed the world by increasing relations between countries: one of its effects among museums, reflected by the EPA Diacorpus, is the increasing frequency of the noun tour in contrast to the decrease of country, being the former related to the feasibility of travelling an exhibition (Lord/Lord 2002) and the latter to small-scale exhibitions, organised at a national level. Last decades of the twentieth century were not only associated with financial hardship for museums: the EPA Diacorpus reflects the advent of new web technologies through the sudden appearance at the end of the nineties",conclusion,conclusion_2
"Eventually, a peak in the occurrences of the phrase made possible by, typically introducing the mention of exhibition sponsors, has to be noted in the 1980s, when museums began to establish commercial partnerships on a regular basis.","funding: the increasing frequency of words like admission, tickets and students, for instance, is reflective of the introduction of visitor fees, but also of the need to differentiate them for some segments of audiences, i.e students, according to their age and other characteristics. Similarly, the rise of education programmes and collateral events thematically linked to the exhibition, such as lectures, films, artist talks, guided tours, has to be put in relation to marketing strategies aiming at widening the number of potential visitors. Another increasing word is catalogue, identifying an item on sale in bookshops, from which museums can profit. To confirm the financial difficulties faced by museums is also the decline of the verb acquire, possibly related to a strict reduction of museum budgets devoted to new acquisitions of artworks.","In the last decades globalization has changed the world by increasing relations between countries: one of its effects among museums, reflected by the EPA Diacorpus, is the increasing frequency of the noun tour in contrast to the decrease of country, being the former related to the feasibility of travelling an exhibition (Lord/Lord 2002) and the latter to small-scale exhibitions, organised at a national level. Last decades of the twentieth century were not only associated with financial hardship for museums: the EPA Diacorpus reflects the advent of new web technologies through the sudden appearance at the end of the nineties of acronyms used for identifying web pages: www – acronym for World Wide Web -, org – a domain extension used for non-profit organization, museums included, and uk, a national domain extension. Yet, the advent",conclusion,conclusion_2
"In the last decades globalization has changed the world by increasing relations between countries: one of its effects among museums, reflected by the EPA Diacorpus, is the increasing frequency of the noun tour in contrast to the decrease of country, being the former related to the feasibility of travelling an exhibition (Lord/Lord 2002) and the latter to small-scale exhibitions, organised at a national level.",", according to their age and other characteristics. Similarly, the rise of education programmes and collateral events thematically linked to the exhibition, such as lectures, films, artist talks, guided tours, has to be put in relation to marketing strategies aiming at widening the number of potential visitors. Another increasing word is catalogue, identifying an item on sale in bookshops, from which museums can profit. To confirm the financial difficulties faced by museums is also the decline of the verb acquire, possibly related to a strict reduction of museum budgets devoted to new acquisitions of artworks. Eventually, a peak in the occurrences of the phrase made possible by, typically introducing the mention of exhibition sponsors, has to be noted in the 1980s, when museums began to establish commercial partnerships on a regular basis.","Last decades of the twentieth century were not only associated with financial hardship for museums: the EPA Diacorpus reflects the advent of new web technologies through the sudden appearance at the end of the nineties of acronyms used for identifying web pages: www – acronym for World Wide Web -, org – a domain extension used for non-profit organization, museums included, and uk, a national domain extension. Yet, the advent of the Internet did not heavily affect the genre of EPAs, as it will be argued in the following sub-section (10.2), but rather revolutionized the way they are sent and used (see chapter 1, section 1.1, and 5, section 5.2). 10.2 Synthesis of results of structural analysis With regard to the evolution of the generic structure of EPAs, our analysis highlighted",conclusion,conclusion_2
"Last decades of the twentieth century were not only associated with financial hardship for museums: the EPA Diacorpus reflects the advent of new web technologies through the sudden appearance at the end of the nineties of acronyms used for identifying web pages: www – acronym for World Wide Web -, org – a domain extension used for non-profit organization, museums included, and uk, a national domain extension.","can profit. To confirm the financial difficulties faced by museums is also the decline of the verb acquire, possibly related to a strict reduction of museum budgets devoted to new acquisitions of artworks. Eventually, a peak in the occurrences of the phrase made possible by, typically introducing the mention of exhibition sponsors, has to be noted in the 1980s, when museums began to establish commercial partnerships on a regular basis. In the last decades globalization has changed the world by increasing relations between countries: one of its effects among museums, reflected by the EPA Diacorpus, is the increasing frequency of the noun tour in contrast to the decrease of country, being the former related to the feasibility of travelling an exhibition (Lord/Lord 2002) and the latter to small-scale exhibitions, organised at a national level.","Yet, the advent of the Internet did not heavily affect the genre of EPAs, as it will be argued in the following sub-section (10.2), but rather revolutionized the way they are sent and used (see chapter 1, section 1.1, and 5, section 5.2). 10.2 Synthesis of results of structural analysis With regard to the evolution of the generic structure of EPAs, our analysis highlighted a general enhancement of the genre from its earlier instances, dated to the 1950s, to the current shape shown by EPAs issued in the 2000s. EPAs evolved from an irregular three-move structure in the 1950s to a consistent and recursive five-move structure in the 1990s and 2000s. Earlier texts provide a prototypical structure comprised of three main moves: a brief announcement of the exhibition, an explanatory section on",conclusion,conclusion_2
"Yet, the advent of the Internet did not heavily affect the genre of EPAs, as it will be argued in the following sub-section (10.2), but rather revolutionized the way they are sent and used (see chapter 1, section 1.1, and 5, section 5.2).","a regular basis. In the last decades globalization has changed the world by increasing relations between countries: one of its effects among museums, reflected by the EPA Diacorpus, is the increasing frequency of the noun tour in contrast to the decrease of country, being the former related to the feasibility of travelling an exhibition (Lord/Lord 2002) and the latter to small-scale exhibitions, organised at a national level. Last decades of the twentieth century were not only associated with financial hardship for museums: the EPA Diacorpus reflects the advent of new web technologies through the sudden appearance at the end of the nineties of acronyms used for identifying web pages: www – acronym for World Wide Web -, org – a domain extension used for non-profit organization, museums included, and uk, a national domain extension.","10.2 Synthesis of results of structural analysis With regard to the evolution of the generic structure of EPAs, our analysis highlighted a general enhancement of the genre from its earlier instances, dated to the 1950s, to the current shape shown by EPAs issued in the 2000s. EPAs evolved from an irregular three-move structure in the 1950s to a consistent and recursive five-move structure in the 1990s and 2000s. Earlier texts provide a prototypical structure comprised of three main moves: a brief announcement of the exhibition, an explanatory section on the topic, and some pieces of information specific for the press members, soliciting further contact, although in a very implicit way. Starting from the 1980s two promotional moves emerge: one establishing credentials for the exhibition by stating its credits, such as organization, curatorship and sponsorship, and",conclusion,conclusion_2
"10.2 Synthesis of results of structural analysis With regard to the evolution of the generic structure of EPAs, our analysis highlighted a general enhancement of the genre from its earlier instances, dated to the 1950s, to the current shape shown by EPAs issued in the 2000s.","feasibility of travelling an exhibition (Lord/Lord 2002) and the latter to small-scale exhibitions, organised at a national level. Last decades of the twentieth century were not only associated with financial hardship for museums: the EPA Diacorpus reflects the advent of new web technologies through the sudden appearance at the end of the nineties of acronyms used for identifying web pages: www – acronym for World Wide Web -, org – a domain extension used for non-profit organization, museums included, and uk, a national domain extension. Yet, the advent of the Internet did not heavily affect the genre of EPAs, as it will be argued in the following sub-section (10.2), but rather revolutionized the way they are sent and used (see chapter 1, section 1.1, and 5, section 5.2).","EPAs evolved from an irregular three-move structure in the 1950s to a consistent and recursive five-move structure in the 1990s and 2000s. Earlier texts provide a prototypical structure comprised of three main moves: a brief announcement of the exhibition, an explanatory section on the topic, and some pieces of information specific for the press members, soliciting further contact, although in a very implicit way. Starting from the 1980s two promotional moves emerge: one establishing credentials for the exhibition by stating its credits, such as organization, curatorship and sponsorship, and one providing technical information for visitors (opening hours, free or charged admission, how to buy tickets, collateral events, etc...). We may therefore point out that EPAs were born with a vocation for announcing and describing the exhibition, but only later acquired",conclusion,conclusion_2
EPAs evolved from an irregular three-move structure in the 1950s to a consistent and recursive five-move structure in the 1990s and 2000s.,"sudden appearance at the end of the nineties of acronyms used for identifying web pages: www – acronym for World Wide Web -, org – a domain extension used for non-profit organization, museums included, and uk, a national domain extension. Yet, the advent of the Internet did not heavily affect the genre of EPAs, as it will be argued in the following sub-section (10.2), but rather revolutionized the way they are sent and used (see chapter 1, section 1.1, and 5, section 5.2). 10.2 Synthesis of results of structural analysis With regard to the evolution of the generic structure of EPAs, our analysis highlighted a general enhancement of the genre from its earlier instances, dated to the 1950s, to the current shape shown by EPAs issued in the 2000s.","Earlier texts provide a prototypical structure comprised of three main moves: a brief announcement of the exhibition, an explanatory section on the topic, and some pieces of information specific for the press members, soliciting further contact, although in a very implicit way. Starting from the 1980s two promotional moves emerge: one establishing credentials for the exhibition by stating its credits, such as organization, curatorship and sponsorship, and one providing technical information for visitors (opening hours, free or charged admission, how to buy tickets, collateral events, etc...). We may therefore point out that EPAs were born with a vocation for announcing and describing the exhibition, but only later acquired a clear awareness of being press releases, i.e. texts meant for journalists; even later they have become effective tools of communication",conclusion,conclusion_2
"Earlier texts provide a prototypical structure comprised of three main moves: a brief announcement of the exhibition, an explanatory section on the topic, and some pieces of information specific for the press members, soliciting further contact, although in a very implicit way.","-, org – a domain extension used for non-profit organization, museums included, and uk, a national domain extension. Yet, the advent of the Internet did not heavily affect the genre of EPAs, as it will be argued in the following sub-section (10.2), but rather revolutionized the way they are sent and used (see chapter 1, section 1.1, and 5, section 5.2). 10.2 Synthesis of results of structural analysis With regard to the evolution of the generic structure of EPAs, our analysis highlighted a general enhancement of the genre from its earlier instances, dated to the 1950s, to the current shape shown by EPAs issued in the 2000s. EPAs evolved from an irregular three-move structure in the 1950s to a consistent and recursive five-move structure in the 1990s and 2000s.","Starting from the 1980s two promotional moves emerge: one establishing credentials for the exhibition by stating its credits, such as organization, curatorship and sponsorship, and one providing technical information for visitors (opening hours, free or charged admission, how to buy tickets, collateral events, etc...). We may therefore point out that EPAs were born with a vocation for announcing and describing the exhibition, but only later acquired a clear awareness of being press releases, i.e. texts meant for journalists; even later they have become effective tools of communication between museums and their audiences, comprising visitors and sponsors among their relevant interlocutors. Our analysis highlights two turning points decisive in terms of structural change, between the 1950s and the 1960s and between the 1980s and the 1990s, leading us to guess that major",conclusion,conclusion_2
"Starting from the 1980s two promotional moves emerge: one establishing credentials for the exhibition by stating its credits, such as organization, curatorship and sponsorship, and one providing technical information for visitors (opening hours, free or charged admission, how to buy tickets, collateral events, etc...).","(10.2), but rather revolutionized the way they are sent and used (see chapter 1, section 1.1, and 5, section 5.2). 10.2 Synthesis of results of structural analysis With regard to the evolution of the generic structure of EPAs, our analysis highlighted a general enhancement of the genre from its earlier instances, dated to the 1950s, to the current shape shown by EPAs issued in the 2000s. EPAs evolved from an irregular three-move structure in the 1950s to a consistent and recursive five-move structure in the 1990s and 2000s. Earlier texts provide a prototypical structure comprised of three main moves: a brief announcement of the exhibition, an explanatory section on the topic, and some pieces of information specific for the press members, soliciting further contact, although in a very implicit way.","We may therefore point out that EPAs were born with a vocation for announcing and describing the exhibition, but only later acquired a clear awareness of being press releases, i.e. texts meant for journalists; even later they have become effective tools of communication between museums and their audiences, comprising visitors and sponsors among their relevant interlocutors. Our analysis highlights two turning points decisive in terms of structural change, between the 1950s and the 1960s and between the 1980s and the 1990s, leading us to guess that major change occurs every thirty years in the structure of EPAs. We summarized this two-phases evolution in a sort of slogan: first EPAs get dressed-up, then they get promotional. In fact, the first period is marked by an emphasis on creativity, both in the announcement and in the description of the",conclusion,conclusion_2
"We may therefore point out that EPAs were born with a vocation for announcing and describing the exhibition, but only later acquired a clear awareness of being press releases, i.e. texts meant for journalists; even later they have become effective tools of communication between museums and their audiences, comprising visitors and sponsors among their relevant interlocutors.","genre from its earlier instances, dated to the 1950s, to the current shape shown by EPAs issued in the 2000s. EPAs evolved from an irregular three-move structure in the 1950s to a consistent and recursive five-move structure in the 1990s and 2000s. Earlier texts provide a prototypical structure comprised of three main moves: a brief announcement of the exhibition, an explanatory section on the topic, and some pieces of information specific for the press members, soliciting further contact, although in a very implicit way. Starting from the 1980s two promotional moves emerge: one establishing credentials for the exhibition by stating its credits, such as organization, curatorship and sponsorship, and one providing technical information for visitors (opening hours, free or charged admission, how to buy tickets, collateral events, etc...).","Our analysis highlights two turning points decisive in terms of structural change, between the 1950s and the 1960s and between the 1980s and the 1990s, leading us to guess that major change occurs every thirty years in the structure of EPAs. We summarized this two-phases evolution in a sort of slogan: first EPAs get dressed-up, then they get promotional. In fact, the first period is marked by an emphasis on creativity, both in the announcement and in the description of the exhibition, as suggested by the use of captivating exhibition titles, narrative sections and linguistic means of emotional appeal. Moreover, from this period onwards EPAs acquire a more definite shape and are modelled on the real needs of media people: they do not only suggest a publishing date, but, more importantly, a contact for",conclusion,conclusion_2
"Our analysis highlights two turning points decisive in terms of structural change, between the 1950s and the 1960s and between the 1980s and the 1990s, leading us to guess that major change occurs every thirty years in the structure of EPAs.","of the exhibition, an explanatory section on the topic, and some pieces of information specific for the press members, soliciting further contact, although in a very implicit way. Starting from the 1980s two promotional moves emerge: one establishing credentials for the exhibition by stating its credits, such as organization, curatorship and sponsorship, and one providing technical information for visitors (opening hours, free or charged admission, how to buy tickets, collateral events, etc...). We may therefore point out that EPAs were born with a vocation for announcing and describing the exhibition, but only later acquired a clear awareness of being press releases, i.e. texts meant for journalists; even later they have become effective tools of communication between museums and their audiences, comprising visitors and sponsors among their relevant interlocutors.","We summarized this two-phases evolution in a sort of slogan: first EPAs get dressed-up, then they get promotional. In fact, the first period is marked by an emphasis on creativity, both in the announcement and in the description of the exhibition, as suggested by the use of captivating exhibition titles, narrative sections and linguistic means of emotional appeal. Moreover, from this period onwards EPAs acquire a more definite shape and are modelled on the real needs of media people: they do not only suggest a publishing date, but, more importantly, a contact for further information is provided, along with a date for the press preview and the indication of photographs available if needed. Furthermore, EPA writers acquire an increasing awareness of what journalists most want: novel stories to be told and authoritative statements",conclusion,conclusion_2
"We summarized this two-phases evolution in a sort of slogan: first EPAs get dressed-up, then they get promotional.","credentials for the exhibition by stating its credits, such as organization, curatorship and sponsorship, and one providing technical information for visitors (opening hours, free or charged admission, how to buy tickets, collateral events, etc...). We may therefore point out that EPAs were born with a vocation for announcing and describing the exhibition, but only later acquired a clear awareness of being press releases, i.e. texts meant for journalists; even later they have become effective tools of communication between museums and their audiences, comprising visitors and sponsors among their relevant interlocutors. Our analysis highlights two turning points decisive in terms of structural change, between the 1950s and the 1960s and between the 1980s and the 1990s, leading us to guess that major change occurs every thirty years in the structure of EPAs.","In fact, the first period is marked by an emphasis on creativity, both in the announcement and in the description of the exhibition, as suggested by the use of captivating exhibition titles, narrative sections and linguistic means of emotional appeal. Moreover, from this period onwards EPAs acquire a more definite shape and are modelled on the real needs of media people: they do not only suggest a publishing date, but, more importantly, a contact for further information is provided, along with a date for the press preview and the indication of photographs available if needed. Furthermore, EPA writers acquire an increasing awareness of what journalists most want: novel stories to be told and authoritative statements to be reported even verbatim. The marked use of narrative sections and quotations is indeed functional to these aims.",conclusion,conclusion_2
"In fact, the first period is marked by an emphasis on creativity, both in the announcement and in the description of the exhibition, as suggested by the use of captivating exhibition titles, narrative sections and linguistic means of emotional appeal.","information for visitors (opening hours, free or charged admission, how to buy tickets, collateral events, etc...). We may therefore point out that EPAs were born with a vocation for announcing and describing the exhibition, but only later acquired a clear awareness of being press releases, i.e. texts meant for journalists; even later they have become effective tools of communication between museums and their audiences, comprising visitors and sponsors among their relevant interlocutors. Our analysis highlights two turning points decisive in terms of structural change, between the 1950s and the 1960s and between the 1980s and the 1990s, leading us to guess that major change occurs every thirty years in the structure of EPAs. We summarized this two-phases evolution in a sort of slogan: first EPAs get dressed-up, then they get promotional.","Moreover, from this period onwards EPAs acquire a more definite shape and are modelled on the real needs of media people: they do not only suggest a publishing date, but, more importantly, a contact for further information is provided, along with a date for the press preview and the indication of photographs available if needed. Furthermore, EPA writers acquire an increasing awareness of what journalists most want: novel stories to be told and authoritative statements to be reported even verbatim. The marked use of narrative sections and quotations is indeed functional to these aims. These relevant developments in the structure of EPAs can be put in relation with cultural changes that took place in the same period in museum professional settings: as pointed out in the first chapter of the thesis, after World War II public relations",conclusion,conclusion_2
"Moreover, from this period onwards EPAs acquire a more definite shape and are modelled on the real needs of media people: they do not only suggest a publishing date, but, more importantly, a contact for further information is provided, along with a date for the press preview and the indication of photographs available if needed.","later acquired a clear awareness of being press releases, i.e. texts meant for journalists; even later they have become effective tools of communication between museums and their audiences, comprising visitors and sponsors among their relevant interlocutors. Our analysis highlights two turning points decisive in terms of structural change, between the 1950s and the 1960s and between the 1980s and the 1990s, leading us to guess that major change occurs every thirty years in the structure of EPAs. We summarized this two-phases evolution in a sort of slogan: first EPAs get dressed-up, then they get promotional. In fact, the first period is marked by an emphasis on creativity, both in the announcement and in the description of the exhibition, as suggested by the use of captivating exhibition titles, narrative sections and linguistic means of emotional appeal.","Furthermore, EPA writers acquire an increasing awareness of what journalists most want: novel stories to be told and authoritative statements to be reported even verbatim. The marked use of narrative sections and quotations is indeed functional to these aims. These relevant developments in the structure of EPAs can be put in relation with cultural changes that took place in the same period in museum professional settings: as pointed out in the first chapter of the thesis, after World War II public relations have been gradually and successfully introduced also in these institutions. Professional press officers were being appointed for the first time and effective communication was now perceived as a value also by non-profit organizations. Moreover, the spread of advertising was igniting creativity in professional discourses with relevant consequences in terms of appropriation of lexical and rhetorical resources (Bhatia 2004",conclusion,conclusion_2
"Furthermore, EPA writers acquire an increasing awareness of what journalists most want: novel stories to be told and authoritative statements to be reported even verbatim.","1980s and the 1990s, leading us to guess that major change occurs every thirty years in the structure of EPAs. We summarized this two-phases evolution in a sort of slogan: first EPAs get dressed-up, then they get promotional. In fact, the first period is marked by an emphasis on creativity, both in the announcement and in the description of the exhibition, as suggested by the use of captivating exhibition titles, narrative sections and linguistic means of emotional appeal. Moreover, from this period onwards EPAs acquire a more definite shape and are modelled on the real needs of media people: they do not only suggest a publishing date, but, more importantly, a contact for further information is provided, along with a date for the press preview and the indication of photographs available if needed.","The marked use of narrative sections and quotations is indeed functional to these aims. These relevant developments in the structure of EPAs can be put in relation with cultural changes that took place in the same period in museum professional settings: as pointed out in the first chapter of the thesis, after World War II public relations have been gradually and successfully introduced also in these institutions. Professional press officers were being appointed for the first time and effective communication was now perceived as a value also by non-profit organizations. Moreover, the spread of advertising was igniting creativity in professional discourses with relevant consequences in terms of appropriation of lexical and rhetorical resources (Bhatia 2004). We might expect that also EPAs, and museum public relations in general, were influenced by the innovative character and creative language of advertising.",conclusion,conclusion_2
The marked use of narrative sections and quotations is indeed functional to these aims.,"a sort of slogan: first EPAs get dressed-up, then they get promotional. In fact, the first period is marked by an emphasis on creativity, both in the announcement and in the description of the exhibition, as suggested by the use of captivating exhibition titles, narrative sections and linguistic means of emotional appeal. Moreover, from this period onwards EPAs acquire a more definite shape and are modelled on the real needs of media people: they do not only suggest a publishing date, but, more importantly, a contact for further information is provided, along with a date for the press preview and the indication of photographs available if needed. Furthermore, EPA writers acquire an increasing awareness of what journalists most want: novel stories to be told and authoritative statements to be reported even verbatim.","These relevant developments in the structure of EPAs can be put in relation with cultural changes that took place in the same period in museum professional settings: as pointed out in the first chapter of the thesis, after World War II public relations have been gradually and successfully introduced also in these institutions. Professional press officers were being appointed for the first time and effective communication was now perceived as a value also by non-profit organizations. Moreover, the spread of advertising was igniting creativity in professional discourses with relevant consequences in terms of appropriation of lexical and rhetorical resources (Bhatia 2004). We might expect that also EPAs, and museum public relations in general, were influenced by the innovative character and creative language of advertising. After the second turning point, from the 1980s onwards, an increasing need for",conclusion,conclusion_2
"These relevant developments in the structure of EPAs can be put in relation with cultural changes that took place in the same period in museum professional settings: as pointed out in the first chapter of the thesis, after World War II public relations have been gradually and successfully introduced also in these institutions.","In fact, the first period is marked by an emphasis on creativity, both in the announcement and in the description of the exhibition, as suggested by the use of captivating exhibition titles, narrative sections and linguistic means of emotional appeal. Moreover, from this period onwards EPAs acquire a more definite shape and are modelled on the real needs of media people: they do not only suggest a publishing date, but, more importantly, a contact for further information is provided, along with a date for the press preview and the indication of photographs available if needed. Furthermore, EPA writers acquire an increasing awareness of what journalists most want: novel stories to be told and authoritative statements to be reported even verbatim. The marked use of narrative sections and quotations is indeed functional to these aims.","Professional press officers were being appointed for the first time and effective communication was now perceived as a value also by non-profit organizations. Moreover, the spread of advertising was igniting creativity in professional discourses with relevant consequences in terms of appropriation of lexical and rhetorical resources (Bhatia 2004). We might expect that also EPAs, and museum public relations in general, were influenced by the innovative character and creative language of advertising. After the second turning point, from the 1980s onwards, an increasing need for self- reference can be noted, realized through a detailed mention of the exhibition credits and, mostly, an accurate account of the people who made possible the event, quoting one of the most recurrent phrases in the EPAs of that period. Significantly, curators are not necessarily the most prominent figures behind",conclusion,conclusion_2
