"thesis_code","section","sentence","expression_number","expression","is_reflexive","reflexivity_type","reflexivity_reasoning","scope_classification","scope_reach","scope_reasoning","L1_classification","L1_reasoning","L2_classification","L2_reasoning","L3_classification","L3_borderline","L3_reasoning","L1_borderline_is","L1_borderline_dominant","L1_borderline_secondary","L1_borderline_why","L2_borderline_is","L2_borderline_primary","L2_borderline_secondary","L2_borderline_tertiary","L2_borderline_strength","L2_borderline_why","comprehensive_justification"
"AP2","Method","From a diachronic perspective, EPAs have become not only longer but also more syntactically developed and lexically richer over time: their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s.","1","From a diachronic perspective","False","","It names an analytical lens rather than referring to the text, the discourse act, or the participants; it sets the interpretive frame for what follows.","MESO","Frames the current sentence and the immediately following sentence(s) reporting change over time (1950s→2000s).","It organizes a local segment devoted to temporal evolution rather than the whole section (not MACRO) and exceeds a single proposition (not MICRO).","MD","When removed, factual propositions persist but the guidance for interpretation (temporal lens) is lost; thus it functions to organize interpretation, not to add content.","INT_ACTIVE","It guides the reader’s path by labeling the perspective for a segment of text.","Frame Marker","False","Conventional framing device announcing the interpretive perspective for a discourse segment.","False","","","","False","","","","","","A non-reflexive, sentence-initial framing PP that organizes a diachronic reading of the next claims; meso-scope interactive Frame Marker."
"AP2","Method","From a diachronic perspective, EPAs have become not only longer but also more syntactically developed and lexically richer over time: their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s.","2","not only... but also","False","","Connects propositional elements; does not refer to the text, discourse act, or participants.","MICRO","Links two properties within the same clause: longer vs. more syntactically developed/lexically richer.","Its function is confined to organizing a local relation within a single clause.","MD","It signals the relation between co-ordinated elements without adding new content.","INT_ACTIVE","Organizes logical relations for the reader.","Transition","False","Canonical additive-emphatic transition via a correlative pair.","False","","","","False","","","","","","Clear clause-internal organizer of an additive-emphatic relation; micro-scope interactive Transition."
"AP2","Method","From a diachronic perspective, EPAs have become not only longer but also more syntactically developed and lexically richer over time: their length has more than doubled, from about 40 thousand tokens in the 1950s to more than 80 thousand tokens in the 2000s.","3","about","False","","Modulates precision of a number; no reference to text/act/participants.","MICRO","Limits precision of the specific figure ‘40 thousand tokens’.","Affects only the immediate numeral within the NP.","MD","Modulates the writer’s commitment/precision rather than adding content.","INT_ACTIONAL","Expresses stance toward the exactness of the value.","Hedge","False","Standard approximator indicating reduced commitment to exact quantity.","False","","","","False","","","","","","Local stance modulation of numerical precision; micro-scope interactional Hedge."
"AP2","Method","It has to be noted that larger corpora give lower values for TTR; therefore, it is better to consider the standardised type/token ratio (STTR), “calculated for the first 1,000 running words, then calculated afresh for the next 1,000, and so on to the end of your text or corpus” (Scott 2007).","1","It has to be noted that","True","reader","Directs the reader’s cognitive act (to note) about the forthcoming content; self-referential to discourse engagement.","MICRO","Highlights the immediately following proposition that larger corpora yield lower TTR values.","Functional reach targets the specific complement proposition, not the broader methodological segment.","MD","Reflexivity is sufficient for MD; removal leaves content intact but loses discourse guidance.","INT_ACTIONAL","Primarily manages reader engagement by directing attention to a key caveat.","Engagement Marker","True","Primary: Engagement (directive to note). Secondary: Attitude (necessity/importance via 'has to'). Engagement dominates; attitude is moderate.","False","","","","True","Engagement Marker","Attitude Marker","","PRIMARY strongly dominant, SECONDARY moderate","Expression both directs reader attention and signals importance; directive function is dominant.","Reader-reflexive directive marking the following TTR caveat as noteworthy; micro-reach; Interactional Engagement primary with secondary Attitude shading."
"AP2","Method","It has to be noted that larger corpora give lower values for TTR; therefore, it is better to consider the standardised type/token ratio (STTR), “calculated for the first 1,000 running words, then calculated afresh for the next 1,000, and so on to the end of your text or corpus” (Scott 2007).","2","therefore","False","","Signals a consequential relation but does not self-reference the discourse or participants.","MESO","Links the premise (TTR decreases with larger corpora) to the conclusion (prefer STTR).","Functional reach spans two related propositions (premise→conclusion), i.e., segment-level connection.","MD","Removal leaves content but reduces guidance about inter-propositional relations.","INT_ACTIVE","Organizes the logical flow by signaling consequence.","Transition","False","Prototypical causal/consequential transition linking propositions.","False","","","","False","","","","","","Causal Transition guiding from premise to methodological choice; meso-reach across two clauses; Interactive organization."
"AP2","Method","It has to be noted that larger corpora give lower values for TTR; therefore, it is better to consider the standardised type/token ratio (STTR), “calculated for the first 1,000 running words, then calculated afresh for the next 1,000, and so on to the end of your text or corpus” (Scott 2007).","3","(Scott 2007)","False","","Attributes source to external text; not self-referential to this discourse’s production.","MICRO","Attributes the quoted STTR definition to a specific source.","Attribution is localized to the quoted definition.","MD","Remains content if removed, but evidential link (organization of sources) is lost.","INT_ACTIVE","Organizes intertextual information and attribution.","Evidential","False","Standard parenthetical citation attributing the definition.","False","","","","False","","","","","","Parenthetical evidential attributing the quoted procedure; micro-reach; Interactive organization of sources."
"AP2","Method","The EPA Diacorpus amounts to 299,138 tokens and 20,384 word types.","1","The EPA Diacorpus amounts to 299,138 tokens and 20,384 word types.","False","","Refers to the research object (the corpus) and its size, not to the text, discourse act, author, or reader.","","","","PROP","Truth-conditional description of the dataset (token/type counts). Not reflexive and does not guide discourse; removal test shows only content loss.","","","","False","","False","","","","False","","","","","","A fully integrated descriptive sentence in Methods that reports corpus size. No reflexive reference to discourse/text, no organizing or stance function, and its removal only affects factual content. Hence PROP at MICRO scope."
"AP2","Method","The vocabulary size of EPA Diacorpus and its sections was derived using a program suite largely acknowledged in linguistics, WordSmith Tools 5 (Scott 2007).","1","largely","False","","Modulates degree of evaluation of the tool; does not refer to the text, discourse act, or participants.","MICRO","Local to the evaluative predicate 'acknowledged' within the NP describing the tool.","Functions as stance modulation over a single evaluative item rather than organizing larger discourse.","MD","Removal affects degree/commitment, not propositional content about the tool’s identity; it modulates stance toward a claim.","INT_ACTIONAL","Expresses interpersonal stance toward the evaluative claim (community acknowledgment).","Hedge","False","Mitigates the strength of 'acknowledged' by indicating it holds to a large extent rather than absolutely.","False","","","","False","","","","","","‘Largely’ hedges the evaluative description of the tool, affecting stance not content; thus MD (interactional hedge) with micro reach."
"AP2","Method","The vocabulary size of EPA Diacorpus and its sections was derived using a program suite largely acknowledged in linguistics, WordSmith Tools 5 (Scott 2007).","2","(Scott 2007)","False","","Attributes information to an external source; does not refer to the current text or discourse act itself.","MICRO","Locally attributes the tool/reference to its source.","Functions as an evidential pointer for the immediate item, not structuring larger segments.","MD","Attribution to an external source is a discourse-guiding evidential; removal does not change the propositional core.","INT_ACTIVE","Guides readers to sources, managing information and intertextual links.","Evidential","False","Prototypical in-text citation providing source attribution.","False","","","","False","","","","","","Parenthetical citation provides evidential support and reader guidance without altering content; MD (interactive evidential), micro scope."
"AP2","Method","The vocabulary size of EPA Diacorpus and its sections was derived using a program suite largely acknowledged in linguistics, WordSmith Tools 5 (Scott 2007).","3","was derived using","False","","Describes methodological action; no reference to text/discourse participants.","","","","PROP","Its removal eliminates factual procedural content; no discourse-organizing or stance function.","","","","False","","False","","","","False","","","","","","Method predicate encodes procedural content; not metadiscourse."
"AP2","Method","Tokens simply denote all the running words of a spoken or written text and if a specific word form occurs more often, these occurrences are counted as well.","1","simply","False","","Does not refer to the text, discourse act, or participants; it modifies stance toward the proposition.","MICRO","Affects only the immediate definitional clause about tokens.","Its effect is confined to the single proposition; it neither organizes nor connects larger text segments.","MD","Removal test: content/definition remains constant; only evaluative framing is lost, indicating a discourse-stance function.","INT_ACTIONAL","Expresses writer’s evaluative stance toward the proposition (presenting the definition as straightforward).","Attitude Marker","False","Conveys evaluation of simplicity rather than boosting certainty or clarifying content; not a code gloss.","False","","","","False","","","","","","Non-reflexive, micro-scope stance adverb. Removal leaves the definition intact but loses evaluative framing, so Level 1 = MD. Function is interactional (stance), specifically an Attitude Marker signaling that the definition is simple."
"AP2","Method","Tokens simply denote all the running words of a spoken or written text and if a specific word form occurs more often, these occurrences are counted as well.","2","as well","False","","Signals an additive relation between propositions; no self-reference to text/act/participants.","MESO","Links the second proposition (counting occurrences) to the prior proposition (definition of tokens).","Functions across two coordinated/clausal propositions within the sentence, marking their additive relationship.","MD","Removal preserves propositional content but weakens the explicit connective relation.","INT_ACTIVE","Organizes discourse by signaling addition between segments.","Transition","False","Canonical additive transition equivalent to 'also' linking propositions.","False","","","","False","","","","","","Non-reflexive, MESO-scope connective marking addition between propositions; Level 1 = MD, Interactive Transition at Level 3."
